GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
primenumbers-rest-api,com.csw.aparito,PrimeNumbers,0,13,0,0,0,6,0,3,0,3
primenumbers-rest-api,com.csw.aparito,PrimeNumbersController,0,34,0,2,0,6,0,6,0,5
primenumbers-rest-api,com.csw.aparito.rest,PrimeNumbersResource,0,19,0,0,0,6,0,2,0,2
primenumbers-rest-api,com.csw.aparito.rest,JAXRSConfiguration,3,0,0,0,1,0,1,0,1,0
