GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
web-frontend Maven Webapp,com.csw.aparito.client,PrimeNumbersRESTClient,23,93,0,2,7,19,1,4,1,3
web-frontend Maven Webapp,com.csw.aparito,FrontendController,7,76,0,4,3,24,2,9,2,7
